# Waveform analysis results (pydub + energy detection)
# Tempo: 160 BPM
# Beat interval: 0.375s
# Total beats: 797
# Downbeats: 200
# Format: time_seconds,beat_position_in_measure,strength
109.050000,3,0.290
109.425000,4,0.279
109.800000,1,0.252
110.175000,2,0.268
110.550000,3,0.293
110.925000,4,0.276
111.300000,1,0.337
111.675000,2,0.296
112.050000,3,0.254
112.425000,4,0.284
112.800000,1,0.000
113.175000,2,0.321
113.550000,3,0.307
113.925000,4,0.000
114.300000,1,0.314
114.675000,2,0.284
115.050000,3,0.000
115.425000,4,0.000
115.800000,1,0.000
116.175000,2,0.000
116.550000,3,0.255
116.925000,4,0.269
117.300000,1,0.292
117.675000,2,0.272
118.050000,3,0.000
118.425000,4,0.257
118.800000,1,0.308
119.175000,2,0.285
119.550000,3,0.264
119.925000,4,0.333
120.300000,1,0.301
120.675000,2,0.000
121.050000,3,0.262
121.425000,4,0.261
121.800000,1,0.334
122.175000,2,0.309
122.550000,3,0.303
122.925000,4,0.404
123.300000,1,0.000
123.675000,2,0.000
124.050000,3,0.333
124.425000,4,0.271
124.800000,1,0.267
125.175000,2,0.262
125.550000,3,0.300
125.925000,4,0.000
126.300000,1,0.336
126.675000,2,0.259
127.050000,3,0.265
127.425000,4,0.000
127.800000,1,0.000
128.175000,2,0.000
128.550000,3,0.269
128.925000,4,0.000
129.300000,1,0.271
129.675000,2,0.270
130.050000,3,0.273
130.425000,4,0.275
130.800000,1,0.278
131.175000,2,0.270
131.550000,3,0.274
131.925000,4,0.303
132.300000,1,0.441
132.675000,2,0.314
133.050000,3,0.426
133.425000,4,0.375
133.800000,1,0.343
134.175000,2,0.403
134.550000,3,0.342
134.925000,4,0.377
135.300000,1,0.414
135.675000,2,0.316
136.050000,3,0.362
136.425000,4,0.303
136.800000,1,0.322
137.175000,2,0.443
137.550000,3,0.298
137.925000,4,0.344
138.300000,1,0.394
138.675000,2,0.336
139.050000,3,0.367
139.425000,4,0.424
139.800000,1,0.389
140.175000,2,0.337
140.550000,3,0.415
140.925000,4,0.529
141.300000,1,0.566
141.675000,2,0.454
142.050000,3,0.601
142.425000,4,0.554
142.800000,1,0.597
143.175000,2,0.501
143.550000,3,0.485
143.925000,4,0.571
144.300000,1,0.539
144.675000,2,0.000
145.050000,3,0.000
145.425000,4,0.000
145.800000,1,0.000
146.175000,2,0.000
146.550000,3,0.000
146.925000,4,0.000
147.300000,1,0.000
147.675000,2,0.000
148.050000,3,0.000
148.425000,4,0.000
148.800000,1,0.000
149.175000,2,0.000
149.550000,3,0.000
149.925000,4,0.000
150.300000,1,0.000
150.675000,2,0.000
151.050000,3,0.000
151.425000,4,0.000
151.800000,1,0.274
152.175000,2,0.365
152.550000,3,0.281
152.925000,4,0.000
153.300000,1,0.000
153.675000,2,0.000
154.050000,3,0.298
154.425000,4,0.299
154.800000,1,0.347
155.175000,2,0.000
155.550000,3,0.302
155.925000,4,0.291
156.300000,1,0.293
156.675000,2,0.330
157.050000,3,0.300
157.425000,4,0.281
157.800000,1,0.442
158.175000,2,0.281
158.550000,3,0.313
158.925000,4,0.277
159.300000,1,0.293
159.675000,2,0.317
160.050000,3,0.352
160.425000,4,0.272
160.800000,1,0.000
161.175000,2,0.263
161.550000,3,0.337
161.925000,4,0.307
162.300000,1,0.000
162.675000,2,0.283
163.050000,3,0.000
163.425000,4,0.271
163.800000,1,0.000
164.175000,2,0.000
164.550000,3,0.000
164.925000,4,0.000
165.300000,1,0.300
165.675000,2,0.251
166.050000,3,0.000
166.425000,4,0.000
166.800000,1,0.000
167.175000,2,0.271
167.550000,3,0.270
167.925000,4,0.324
168.300000,1,0.261
168.675000,2,0.266
169.050000,3,0.266
169.425000,4,0.299
169.800000,1,0.265
170.175000,2,0.302
170.550000,3,0.000
170.925000,4,0.000
171.300000,1,0.000
171.675000,2,0.000
172.050000,3,0.000
172.425000,4,0.328
172.800000,1,0.262
173.175000,2,0.362
173.550000,3,0.343
173.925000,4,0.000
174.300000,1,0.000
174.675000,2,0.000
175.050000,3,0.289
175.425000,4,0.000
175.800000,1,0.346
176.175000,2,0.278
176.550000,3,0.330
176.925000,4,0.262
177.300000,1,0.260
177.675000,2,0.000
178.050000,3,0.309
178.425000,4,0.000
178.800000,1,0.272
179.175000,2,0.349
179.550000,3,0.000
179.925000,4,0.000
180.300000,1,0.000
180.675000,2,0.260
181.050000,3,0.268
181.425000,4,0.000
181.800000,1,0.000
182.175000,2,0.257
182.550000,3,0.000
182.925000,4,0.271
183.300000,1,0.290
183.675000,2,0.000
184.050000,3,0.261
184.425000,4,0.000
184.800000,1,0.000
185.175000,2,0.301
185.550000,3,0.000
185.925000,4,0.000
186.300000,1,0.000
186.675000,2,0.000
187.050000,3,0.400
187.425000,4,0.000
187.800000,1,0.419
188.175000,2,0.285
188.550000,3,0.315
188.925000,4,0.308
189.300000,1,0.000
189.675000,2,0.269
190.050000,3,0.296
190.425000,4,0.000
190.800000,1,0.343
191.175000,2,0.264
191.550000,3,0.304
191.925000,4,0.257
192.300000,1,0.000
192.675000,2,0.273
193.050000,3,0.273
193.425000,4,0.000
193.800000,1,0.284
194.175000,2,0.000
194.550000,3,0.279
194.925000,4,0.000
195.300000,1,0.000
195.675000,2,0.272
196.050000,3,0.281
196.425000,4,0.000
196.800000,1,0.302
197.175000,2,0.000
197.550000,3,0.346
197.925000,4,0.000
198.300000,1,0.257
198.675000,2,0.000
199.050000,3,0.280
199.425000,4,0.000
199.800000,1,0.000
200.175000,2,0.306
200.550000,3,0.310
200.925000,4,0.291
201.300000,1,0.253
201.675000,2,0.356
202.050000,3,0.327
202.425000,4,0.275
202.800000,1,0.251
203.175000,2,0.330
203.550000,3,0.000
203.925000,4,0.383
204.300000,1,0.000
204.675000,2,0.000
205.050000,3,0.000
205.425000,4,0.000
205.800000,1,0.000
206.175000,2,0.301
206.550000,3,0.000
206.925000,4,0.000
207.300000,1,0.000
207.675000,2,0.000
208.050000,3,0.000
208.425000,4,0.000
208.800000,1,0.000
209.175000,2,0.536
209.550000,3,0.267
209.925000,4,0.000
210.300000,1,0.000
210.675000,2,0.000
211.050000,3,0.000
211.425000,4,0.000
211.800000,1,0.000
212.175000,2,0.509
212.550000,3,0.000
212.925000,4,0.000
213.300000,1,0.000
213.675000,2,0.000
214.050000,3,0.000
214.425000,4,0.000
214.800000,1,0.000
215.175000,2,0.000
215.550000,3,0.263
215.925000,4,0.000
216.300000,1,0.000
216.675000,2,0.000
217.050000,3,0.563
217.425000,4,0.531
217.800000,1,0.709
218.175000,2,0.327
218.550000,3,0.460
218.925000,4,0.334
219.300000,1,0.786
219.675000,2,0.284
220.050000,3,0.649
220.425000,4,0.685
220.800000,1,0.685
221.175000,2,0.443
221.550000,3,0.000
221.925000,4,0.000
222.300000,1,0.632
222.675000,2,0.255
223.050000,3,0.875
223.425000,4,0.730
223.800000,1,0.518
224.175000,2,0.000
224.550000,3,0.260
224.925000,4,0.330
225.300000,1,0.588
225.675000,2,0.368
226.050000,3,0.669
226.425000,4,0.562
226.800000,1,0.482
227.175000,2,0.414
227.550000,3,0.000
227.925000,4,0.000
228.300000,1,0.452
228.675000,2,0.284
229.050000,3,0.591
229.425000,4,0.626
229.800000,1,0.562
230.175000,2,0.399
230.550000,3,0.000
230.925000,4,0.302
231.300000,1,0.502
231.675000,2,0.253
232.050000,3,0.507
232.425000,4,0.563
232.800000,1,0.377
233.175000,2,0.000
233.550000,3,0.316
233.925000,4,0.365
234.300000,1,0.593
234.675000,2,0.263
235.050000,3,0.000
235.425000,4,0.298
235.800000,1,0.000
236.175000,2,0.000
236.550000,3,0.255
236.925000,4,0.329
237.300000,1,0.321
237.675000,2,0.000
238.050000,3,0.315
238.425000,4,0.315
238.800000,1,0.269
239.175000,2,0.000
239.550000,3,0.256
239.925000,4,0.270
240.300000,1,0.306
240.675000,2,0.282
241.050000,3,0.257
241.425000,4,0.288
241.800000,1,0.258
242.175000,2,0.309
242.550000,3,0.296
242.925000,4,0.316
243.300000,1,0.281
243.675000,2,0.000
244.050000,3,0.270
244.425000,4,0.277
244.800000,1,0.270
245.175000,2,0.000
245.550000,3,0.277
245.925000,4,0.000
246.300000,1,0.000
246.675000,2,0.293
247.050000,3,0.257
247.425000,4,0.255
247.800000,1,0.281
248.175000,2,0.000
248.550000,3,0.000
248.925000,4,0.000
249.300000,1,0.251
249.675000,2,0.282
250.050000,3,0.361
250.425000,4,0.000
250.800000,1,0.257
251.175000,2,0.000
251.550000,3,0.268
251.925000,4,0.000
252.300000,1,0.307
252.675000,2,0.419
253.050000,3,0.000
253.425000,4,0.251
253.800000,1,0.257
254.175000,2,0.273
254.550000,3,0.287
254.925000,4,0.263
255.300000,1,0.287
255.675000,2,0.331
256.050000,3,0.300
256.425000,4,0.255
256.800000,1,0.000
257.175000,2,0.000
257.550000,3,0.300
257.925000,4,0.284
258.300000,1,0.258
258.675000,2,0.301
259.050000,3,0.283
259.425000,4,0.000
259.800000,1,0.259
260.175000,2,0.000
260.550000,3,0.000
260.925000,4,0.275
261.300000,1,0.274
261.675000,2,0.305
262.050000,3,0.285
262.425000,4,0.277
262.800000,1,0.281
263.175000,2,0.300
263.550000,3,0.264
263.925000,4,0.284
264.300000,1,0.291
264.675000,2,0.000
265.050000,3,0.281
265.425000,4,0.000
265.800000,1,0.000
266.175000,2,0.000
266.550000,3,0.256
266.925000,4,0.267
267.300000,1,0.305
267.675000,2,0.326
268.050000,3,0.000
268.425000,4,0.280
268.800000,1,0.000
269.175000,2,0.264
269.550000,3,0.000
269.925000,4,0.000
270.300000,1,0.000
270.675000,2,0.273
271.050000,3,0.284
271.425000,4,0.340
271.800000,1,0.256
272.175000,2,0.320
272.550000,3,0.000
272.925000,4,0.000
273.300000,1,0.277
273.675000,2,0.307
274.050000,3,0.000
274.425000,4,0.000
274.800000,1,0.000
275.175000,2,0.265
275.550000,3,0.000
275.925000,4,0.262
276.300000,1,0.265
276.675000,2,0.258
277.050000,3,0.300
277.425000,4,0.000
277.800000,1,0.000
278.175000,2,0.302
278.550000,3,0.000
278.925000,4,0.288
279.300000,1,0.274
279.675000,2,0.327
280.050000,3,0.000
280.425000,4,0.282
280.800000,1,0.000
281.175000,2,0.273
281.550000,3,0.000
281.925000,4,0.000
282.300000,1,0.000
282.675000,2,0.264
283.050000,3,0.264
283.425000,4,0.286
283.800000,1,0.259
284.175000,2,0.299
284.550000,3,0.251
284.925000,4,0.277
285.300000,1,0.264
285.675000,2,0.000
286.050000,3,0.000
286.425000,4,0.254
286.800000,1,0.253
287.175000,2,0.279
287.550000,3,0.000
287.925000,4,0.000
288.300000,1,0.000
288.675000,2,0.261
289.050000,3,0.000
289.425000,4,0.256
289.800000,1,0.000
290.175000,2,0.000
290.550000,3,0.274
290.925000,4,0.000
291.300000,1,0.297
291.675000,2,0.275
292.050000,3,0.000
292.425000,4,0.000
292.800000,1,0.265
293.175000,2,0.252
293.550000,3,0.257
293.925000,4,0.268
294.300000,1,0.000
294.675000,2,0.251
295.050000,3,0.294
295.425000,4,0.000
295.800000,1,0.308
296.175000,2,0.000
296.550000,3,0.000
296.925000,4,0.000
297.300000,1,0.273
297.675000,2,0.259
298.050000,3,0.266
298.425000,4,0.000
298.800000,1,0.253
299.175000,2,0.000
299.550000,3,0.000
299.925000,4,0.000
300.300000,1,0.000
300.675000,2,0.000
301.050000,3,0.000
301.425000,4,0.000
301.800000,1,0.000
